지 역,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01
경기 분당구,521627,515190,510206,508183,508849,511738,514032,512159,509960,509611,509302,508278,509389,507127,508635,511825,512310,511905,511714,511603,512770,515183,518603,520127,521325,522032,522802,524246,526405,527524,528794,565167,566389,568016,570246,572230,573190,573643,573802,573802,573833,573698,573976,574381,575087,575365,575841,576532,576738,576675,576833,577484,578437,579397,581127,586024,597587,604595,608365,611413,682664,695699,721637,735781,744377,748267,749651,750192,752342,768699,772342,772240,769349,854676,848622,842554,837473,833392,831818,834709,837068,841128,848804,857108,866831,921324,921196,920216,917872,916459,915953,926750,938453,946007
경기 군포시,270583,266792,266531,265813,266427,266406,266885,265240,264302,265833,268531,269344,269615,268083,269146,270896,269792,268219,266917,267333,267542,269604,269938,270500,271302,271917,273625,276094,279271,281271,283042,300575,302160,304019,305575,307198,307821,307689,307557,307302,307358,307802,308198,308821,309472,309745,310057,310330,310425,310387,310349,310387,310594,310736,310991,311198,311821,312387,313094,313736,329579,329333,329289,329246,329105,328789,328702,328579,327789,329746,331439,332474,332333,348573,348218,345818,342564,339436,336573,334964,335073,337364,339500,340091,343545,347884,351670,372098,386643,391866,394009,396438,398045,398652
경기 의왕시,305469,300250,297031,294313,293625,293750,294656,292813,292063,292500,295078,296891,298500,309235,313441,315015,315397,317338,317456,317794,320456,322294,324294,325926,326015,326206,328103,329529,331603,332779,334765,341735,344471,346015,348735,349882,350838,351221,351279,351265,350647,350500,350441,350515,350956,351206,351471,351985,352250,352603,352750,352676,353235,353412,353176,353750,354191,355029,355691,357221,382738,384788,385663,386538,387413,388163,389225,389975,390938,394063,397538,398538,398788,430141,429231,425513,421872,416795,414295,413577,413321,415449,417551,421167,432462,461138,466150,473900,481513,486500,490375,495438,499913,506688
경기 경부2권,283035,281293,280264,279514,279388,279826,280156,279679,278698,278378,278630,278977,279425,284596,285177,286098,285496,285148,285149,285303,285957,287673,288807,289631,290430,291568,292700,293744,295108,296514,297896,312319,313346,314529,315767,316767,317297,317559,317599,317639,317556,317450,317294,317345,317412,315590,315801,316142,316160,316222,316238,316317,316428,316476,316585,316751,316803,317317,317522,317577,325529,325679,326592,328033,330089,331206,332394,333376,334395,337926,341728,344240,345434,361758,361380,360820,358968,357667,356968,357000,357850,358712,359699,361735,366387,388389,403666,419481,423864,425788,430873,436308,440747,447001
경기 안성시,148155,148493,148453,148399,149304,149676,149946,149986,149986,150405,151284,152209,153054,156103,156949,157436,157327,157532,157585,157678,157883,158510,158805,159254,159795,160314,160897,161112,161486,161717,161626,161968,162891,163979,164896,165669,166079,166138,166126,166077,165933,165685,165764,165914,165965,161513,161438,161322,161260,161235,161153,161071,160920,160786,160490,160379,160059,159397,159315,159071,145639,145573,144584,143304,142013,140135,138712,137578,137077,136845,136384,135280,134049,148100,147830,147610,146805,146150,145410,144750,143490,142885,142520,142340,142275,150091,149759,149792,149821,149726,149915,150906,151000,151226
경기 용인시,338626,336529,335124,334293,333983,334589,335225,334476,333462,332896,332993,332882,333099,333790,334405,335482,334238,333592,333382,333529,333799,334575,335595,336013,336347,335920,336773,337673,339022,339898,340854,353570,354383,355679,357036,358047,358689,359065,359112,359124,359072,359038,359012,359016,359071,358907,359083,359238,358993,359004,358888,358835,358776,358598,358587,358566,358469,358542,358559,358378,363179,363103,364006,365943,369543,371361,373240,374710,376672,382987,389193,393076,394218,406562,405939,405151,401923,400214,399335,399124,400159,401033,401830,403960,408482,419406,431323,444189,449132,451502,457285,463198,469893,481089
경기 처인구,185362,185034,184534,184103,185224,185190,185776,183966,183879,183483,182983,182224,182862,182103,182207,181810,181155,180776,179569,179397,179948,180259,180586,179914,180276,180103,180172,181172,182466,183448,184052,186810,187483,188379,189397,190052,190517,190724,191000,190966,190983,191121,191155,191293,191379,191483,191621,191655,189431,189431,189379,189379,189379,189241,189345,189414,189293,189314,189107,188900,180972,180736,180194,179764,179236,178833,178597,177986,177181,177153,176917,176333,175750,184213,183925,183713,182988,182838,182688,183288,183913,184338,184888,185288,185713,198051,198398,199510,200102,200653,202051,202847,204235,206133
경기 기흥구,332211,330491,329298,328526,328439,328298,327553,326711,325877,324974,324886,324526,324474,324140,324246,323632,321649,320719,320789,320807,320842,321044,321447,321509,321588,321930,322526,323333,324544,325079,325868,325035,325833,326921,327798,328518,329044,329325,329360,329395,329307,329263,329263,329219,329254,329281,329404,329526,329561,329544,329456,329474,329526,329500,329482,329509,329561,329789,330088,330228,334787,334956,335257,335846,337787,339684,343515,346324,348941,356015,362684,366890,367662,371310,370500,370049,366620,365275,365268,364796,364937,365606,366401,367894,370514,390082,398466,410507,414630,416514,422842,429130,433849,446096
경기 수지구,381517,378636,376814,375831,374966,376432,378390,377983,376576,376288,376703,376983,377356,379364,380585,383619,382932,382492,382254,382602,383025,384458,386229,387246,387814,389356,390661,391627,393127,394314,395525,425542,426407,428017,429949,431347,432153,432669,432669,432669,432636,432568,432500,432517,432585,432636,432873,433093,433093,433136,432975,432839,432653,432314,432280,432186,431949,431881,431678,431186,441559,441279,443184,447125,453522,455868,456360,457051,459110,466397,473897,478676,480662,507371,506843,505543,501793,499257,497271,497093,499164,500379,501250,504536,512200,533655,553627,571796,579239,582803,589676,597134,607894,621514
경기 수원시,244100,242442,241666,240906,240830,241104,241129,240860,239782,239616,239943,240682,241313,251371,251881,252699,252691,252573,252786,252953,254063,256890,258255,259545,260857,263446,264931,266227,267732,269824,271825,289827,291080,292161,293321,294338,294770,294945,294983,295063,294957,294797,294481,294566,294648,295481,295768,296358,296647,296771,296931,297162,297480,297775,298061,298450,298703,299822,300252,300583,316671,317073,318288,319668,320741,321637,322557,323391,323728,325138,327262,329000,330619,347353,347195,346809,346141,345145,344626,344983,345939,346987,348336,350581,355992,391685,412633,433729,438176,439945,445036,450633,453423,455554
경기 장안구,231945,231259,230556,230192,229884,230163,229628,229337,228570,228244,228640,228988,229209,229163,229302,229581,229628,229419,229465,229465,230849,232186,232733,233128,233360,234326,236837,238884,242186,244000,246023,256686,258733,259895,260733,262116,262547,262895,262640,262500,262407,262291,261988,262012,262186,262302,262570,263209,263337,263384,263523,263756,264186,264477,264930,265267,265500,265721,265802,266140,297912,296873,296118,296137,296206,296098,296020,296039,296020,296157,296608,298441,299931,309029,309019,308942,308596,307837,306885,306606,306913,306952,307250,307462,307404,328885,338394,356135,361615,362500,366644,369981,370923,371760
경기 권선구,213607,212710,211995,211512,212036,212274,212857,213131,212333,212667,213131,214048,214786,225989,226333,227089,226811,226900,226922,227167,227667,228744,229456,230389,232022,233211,234333,235633,236700,237344,239133,245578,247433,248767,250156,251433,251911,252011,252033,252000,251911,251500,250844,250867,250789,255000,255229,255896,256115,256094,256281,256740,257031,257500,257729,258271,258396,258688,258958,259375,270182,270000,270045,269582,269427,269264,268673,269045,269055,269973,271755,272364,273164,284974,285155,284724,283983,283509,283147,282845,282914,283224,283353,283707,285595,318653,339907,363305,367229,367805,370805,374390,376483,378025
경기 팔달구,254133,250680,250169,248763,248875,248891,249594,248578,248250,247750,248109,247750,248906,250094,251484,253375,253172,252813,254266,254563,255859,258188,259000,260047,261172,264157,265657,266229,268443,269743,271686,271638,273000,273463,273750,274125,274325,274288,274363,274363,274138,273850,273863,274075,274288,274350,274788,275475,275913,276113,276275,276638,277213,277650,277975,278450,278863,279138,279338,279788,295211,296316,298184,299684,300724,300803,300987,302263,303500,305145,308421,312329,316197,330486,330351,330851,330378,329514,329068,328446,329311,330500,331311,332797,337919,360986,380649,400824,406351,413189,418838,424743,426919,427919
경기 영통구,272400,270170,269190,268190,267740,268140,267860,267480,265670,265360,265520,266830,267460,287269,287824,288648,288889,288769,288759,288935,290250,295685,298352,300648,302546,303889,304898,305926,306222,309769,311917,350381,350627,351695,353229,354042,354525,354712,354949,355288,355203,355237,355034,355161,355246,355314,355602,356068,356466,356720,356873,356890,357059,357178,357381,357661,357966,360602,361466,361686,372587,374143,377333,380992,383690,386357,389365,390937,391444,393992,397079,398857,400397,428129,427593,426736,425850,424236,423850,425486,427607,429857,433057,438407,450314,499845,528211,549901,553754,555338,562507,571035,575754,579549
경기 서해안권,230287,229013,228109,227112,227220,227920,227996,227499,226794,226754,227862,228706,229428,231934,232636,233720,233729,233724,233670,233745,234017,235504,236568,237256,237690,237959,238819,239964,241838,243726,245457,251278,252285,253263,254617,255680,256408,256561,256561,256331,256049,256052,256364,256650,256889,259987,260407,260839,261029,261140,261262,261378,261687,262103,262536,262903,263429,263806,264092,264290,269806,270408,270643,270724,270849,270483,270335,269902,270186,271972,274135,274845,274550,290479,289773,288741,287079,285679,284978,285207,285525,286392,287512,289417,292089,311517,315183,323696,329693,332472,336545,340904,344304,346603
경기 부천시,250246,247520,245692,244388,244399,245124,244901,244571,243274,243147,245440,246606,247428,252386,253173,254194,254212,254517,254902,255231,255488,256218,256903,257289,257647,257958,258473,258980,259593,260355,261729,268723,270089,271635,273592,275021,276048,276456,276573,276515,276571,276720,277264,277943,278269,267676,267980,268319,268423,268342,268342,268265,268365,268742,269251,269745,270876,271623,272055,272750,289772,290346,291019,291395,291809,291654,292130,292728,293037,294377,299981,304469,304519,314024,313774,313750,313786,313155,313161,313726,314464,316113,318679,322327,324720,343335,345676,351371,355994,358671,362547,366676,370076,372088
경기 안산시,226193,225173,224564,223521,223082,224441,224797,224434,223952,223947,224984,225661,226292,227590,228895,230387,230063,229958,229884,230143,230333,233696,234662,235583,236561,237326,238264,240970,244904,247932,250585,263643,265036,266476,268283,269087,269918,269669,269267,268333,267051,266757,267276,267588,267721,268226,268533,268564,268550,268484,268405,268405,268468,268283,268346,268327,268528,268677,268618,268146,277291,276902,276348,275739,274908,272977,270923,267560,262183,260574,259663,258616,257314,254523,253587,253276,252651,252359,251429,251175,251043,251340,252352,253671,257363,269946,271960,278477,287180,292709,300144,304197,305620,305309
경기 상록구,216897,216692,216154,214513,213474,214923,215308,215423,215154,215192,216846,217782,218962,220359,220923,222038,221167,220769,220692,220949,221064,223654,224769,225962,226897,228051,229000,232513,237141,239705,242372,251782,252692,254000,255103,256077,255795,255590,255410,255128,254872,254423,255256,255718,255897,256154,256513,256667,256692,256654,256474,256474,256449,256423,256397,256269,256077,256077,255859,255295,261556,260756,260300,259689,259211,257344,255867,252322,246267,244189,243344,242456,241156,242683,241728,241170,240170,240011,238307,238023,237864,238489,239761,240648,244909,254477,256727,263534,270580,274830,280693,284489,285545,285420
경기 단원구,233714,232036,231369,230810,230857,232143,232476,231726,231071,231031,231569,232036,232224,233440,235345,237143,237262,237393,237321,237583,237833,241821,242667,243369,244381,244893,245821,247869,251238,254643,257286,273310,275095,276643,279024,279690,281429,281143,280560,279095,276976,276810,277071,277262,277357,277733,278000,277933,277889,277800,277800,277800,277933,277622,277756,277822,278333,278600,278667,278267,289216,289137,288510,287902,286804,284824,282333,279108,274245,272990,272029,270863,269559,264150,263230,263120,262800,262400,262100,261870,261760,261790,262590,264260,267490,281796,283630,289926,299898,306407,315046,319296,321000,320546
경기 시흥시,182620,181344,179567,178974,178719,179089,179496,179630,179111,179389,180565,181028,181824,182130,182861,183593,183171,182435,182185,182154,182487,183910,184586,184936,185257,185665,186172,187537,189917,192250,193889,198306,199167,200556,202444,202806,202917,202731,202472,202250,202250,202324,202843,202926,203074,206875,207027,207125,207125,207170,207107,207143,207277,207647,207879,208004,209098,210045,210750,211223,219394,219167,218977,218773,218553,218182,217864,217447,216902,216826,217136,217386,217159,237831,237577,237000,235345,234542,233817,232972,232479,232662,232282,232585,232873,252934,256125,264336,273184,275283,277678,280605,281941,282125
경기 광명시,298417,296344,295990,292740,293281,294927,295771,295396,294792,295458,296271,298979,300594,304042,305188,308010,309156,309458,309271,309063,309750,312042,317240,319052,319990,321781,324500,327427,331875,338156,343458,356667,358854,360385,362385,365833,367875,369104,369542,369292,368833,368833,369521,370250,371344,372917,374646,376417,377125,377583,378104,378625,379417,380604,382990,384625,386990,387906,389052,390750,391018,391900,393482,394900,396264,397891,400145,402473,412800,428691,435736,437391,436609,498125,494446,488688,481741,475411,476527,483964,488839,494170,499902,506098,519000,562816,569877,580044,585289,587667,589947,598246,609632,618509
경기 화성시,255462,255011,254749,254448,255366,255992,255967,254623,253885,253525,254459,255041,255672,256459,256738,257549,257738,257869,257475,257443,257164,258369,258336,258844,258861,259443,260131,260484,261631,262328,262885,263349,263802,263833,264274,264861,265242,265258,265385,265345,265242,265282,265250,265298,265417,288342,288680,289320,289743,290165,290623,291004,291750,292687,293060,293461,292975,292905,292919,292792,291892,295849,296966,297700,298986,299347,300584,301532,303084,305494,308591,308429,308994,328841,328460,327381,325494,324545,323028,322670,322619,322966,323273,325449,328261,353651,361382,376292,383264,386066,391241,396245,400401,404604
경기 오산시,217643,217443,217029,216729,216643,216543,214857,213714,213029,212443,212557,212614,212757,214618,214618,215316,215013,214789,214711,214684,214934,216026,216697,217197,217105,217197,218329,218645,219237,219895,220250,221237,221276,221408,221842,222329,222763,222671,222671,222592,222447,222434,222408,222368,222447,221663,221888,222088,222138,222263,222288,222263,222388,222488,222475,222525,222425,222375,222325,222025,205122,203022,201844,200800,199233,197956,196933,195856,195467,195367,195356,194678,193967,206259,205759,205034,204491,203095,202828,202198,201983,201815,201642,201418,200754,205779,206328,214180,219320,222197,225770,228205,230311,231984
경기 평택시,173280,173170,172900,172641,172720,172649,172933,172597,172343,172152,172282,172422,172687,176865,177166,177336,177232,177350,177362,177322,178028,178377,178797,179467,179868,180502,180823,180922,181410,181962,182632,184495,184892,185146,185533,186080,186420,186439,186495,186495,186373,186373,186160,186113,186000,191491,191741,191955,192063,192045,192063,192098,192313,192375,192188,192223,191955,191866,191795,191286,200664,199724,199104,198478,197888,196918,194933,192597,191313,189567,188142,186754,186306,192442,192164,191543,189735,188133,186509,184435,183262,182614,182133,181546,180880,193599,193582,196679,198551,200011,202699,206500,208267,208574
경기 동부1권,245259,243535,242094,241310,241598,242052,241792,241165,240565,240244,241470,241801,241610,242066,242403,243108,243099,242800,242464,242168,242204,242745,243371,243869,244042,243490,243911,244905,247002,248708,250199,259607,260296,261460,262982,264369,265275,265414,265474,265546,265691,265715,265816,266063,266461,271254,271803,272391,272404,272367,272372,272388,272634,273065,273901,274476,275265,275608,276089,276438,319585,319838,320690,322622,323757,324453,324730,325119,325846,329184,330950,333662,334269,367320,366580,365607,363968,363112,362412,363170,364402,365979,367800,370479,373971,399022,402234,408973,414439,416960,422455,431730,440449,446967
경기 남양주시,222030,221326,220242,219485,219409,219682,219265,218689,218144,217645,218417,218627,218747,219344,219973,221094,221283,221152,220818,220591,220561,221068,221455,221689,221841,222000,222167,222720,223977,225114,226030,232008,232424,233394,234939,236470,237598,237773,237909,238045,238258,238333,238500,238750,239189,239568,240114,240755,240712,240689,240682,240682,240924,241182,241856,242439,242870,243158,243385,243688,277932,277593,277278,277642,277883,277667,277630,277593,277420,277673,278253,281352,281722,305442,305453,305274,305049,304729,304768,304549,305083,306099,306522,307163,308494,321247,324274,328538,333349,335597,339038,345522,353065,358398
경기 구리시,293056,287694,284625,282847,283319,284000,284458,283750,283444,283306,285500,286486,286986,287417,289194,289972,290597,291069,291139,290653,290972,291847,292639,293597,294083,294306,294847,296000,298111,299889,302014,315208,316361,318194,320139,321611,322750,322972,323000,322986,323097,323181,323583,324264,324931,325444,325833,326528,326625,326625,326708,326792,327000,327417,328431,329028,330194,330958,331681,332486,374686,375430,376209,376942,378558,381012,382593,383744,387547,397093,402733,408384,411570,424840,425394,425755,426245,425926,426660,427787,428989,431383,433755,438915,441521,461719,468479,487781,504438,512604,520500,529281,540885,549813
경기 하남시,280517,277121,276328,276121,276931,278879,278414,277914,276810,277586,281328,281414,280966,281931,283207,284431,284759,284379,284310,284207,284603,285828,288103,289000,288931,289414,290793,293621,301983,308017,312707,337500,338984,340694,342355,343339,343258,343145,342774,342694,342532,342000,341145,341048,341081,376365,376878,377257,377149,377068,377135,376946,376811,377824,380027,380527,383351,383459,384784,385527,460867,462889,468444,478111,483278,486833,487622,489367,491444,502256,506056,507100,506644,566398,561907,557000,548343,544926,540574,544815,549861,553565,560139,568509,581074,651784,654845,663241,664871,663819,670922,690698,706103,717353
경기 광주시,256446,255960,254517,254317,255403,255300,254986,254171,253386,252800,253014,253243,251343,250971,248071,246829,245186,243500,242543,242071,241814,241671,241914,242629,242700,242714,243371,244714,245986,247014,247986,250214,250886,251686,252557,253586,254100,254200,254314,254343,254486,254657,254886,254914,255129,255243,256014,256443,256700,256600,256514,256700,257329,258000,258157,258743,258886,259200,259757,259471,256560,256500,256440,256702,256083,255083,254583,254214,253536,253369,253179,253226,253214,278155,278036,277718,277518,277373,277064,276564,275555,275600,275891,276091,276909,286983,287483,287975,289208,291400,299375,305600,307217,309517
경기 동부2권,163380,163456,163734,163741,164309,164948,165203,165187,165008,165275,165931,166219,166640,164197,164783,165626,165888,165835,165920,165878,166124,166404,166592,166842,167069,168028,168591,169109,169911,170525,171165,177184,177485,178064,178775,179201,179516,179771,179896,179995,180201,180608,180853,180960,181150,181660,182035,182485,182522,182491,182544,182742,183041,183223,183330,183361,183210,183355,183493,183350,179443,179526,179549,179989,180032,180189,180131,180164,180252,180152,179873,179447,178939,181295,180701,179893,178779,177878,176863,176585,176110,175707,175595,175292,174904,187204,186961,186861,186517,186409,186358,186620,186935,187360
경기 이천시,153864,153864,154330,154602,155580,156145,156524,156539,156479,156888,157524,157764,158448,160100,160724,161545,161667,161545,161742,162136,162438,162892,163121,163606,164030,164288,165106,165848,167061,168000,168939,179030,179500,180379,181182,181667,182045,182348,182515,182652,182970,183388,183591,183718,183918,184300,184664,185106,185136,185076,185167,185318,185485,185545,185606,185500,185197,185348,185500,185303,184119,183905,183881,184119,184048,183810,183798,183821,183833,183536,183000,182690,181988,184866,183963,182817,181543,180598,179305,179037,178409,178006,178012,177780,177482,196751,196696,196810,196530,196625,196643,197077,197512,198214
경기 여주시,158896,159208,159125,158313,158021,159104,159104,159104,158979,158896,159521,160021,159896,145371,146032,147226,147032,147129,146965,146948,146981,146994,147058,147074,146897,150732,150771,150974,151132,151178,151372,154963,155006,155150,155441,155705,156005,156055,156136,156191,156479,157124,157561,157666,157909,158196,158546,158996,159063,159088,159075,159310,159536,159773,159931,160144,160238,160325,160488,160113,147058,146942,146750,146865,146865,146865,146673,146519,146212,145981,145635,144962,144135,140788,140519,139885,138615,137385,136538,136106,135644,134923,134356,133740,132952,133273,132692,132260,131837,131538,131538,131625,131798,131625
경기 경의권,252903,251133,249332,248149,245958,245848,245157,244546,244221,244670,246224,246473,247006,251254,252515,254090,254175,253353,253210,252893,253241,254511,255930,256722,257208,256517,258101,259948,262371,264154,266296,272399,273932,275909,277953,279301,279808,279794,279758,279674,279492,279540,279694,279901,280158,285106,286937,288272,288498,288272,287914,287755,287880,288213,288791,290563,293143,293247,293753,294506,310543,310356,310255,310085,309840,309835,309674,309053,308141,308288,309804,311226,310869,317314,316977,316514,315521,314670,313779,312601,311517,310920,310518,310536,311414,332714,333356,334468,335999,337195,339307,347356,351028,353318
경기 김포시,234425,231634,230500,229988,229573,229976,228780,226695,225207,225573,229244,228976,229049,238219,241104,243323,242292,241771,242177,241125,240125,241469,242250,242708,242823,243961,245667,248186,252804,254980,259324,277704,278639,280722,282241,283111,283370,283287,283102,282972,282759,282630,282444,282389,282315,285310,286362,287164,287293,287086,286655,285897,285440,285672,286440,288164,289966,290716,292103,293578,304542,305542,306667,307258,306925,307058,307417,307292,306442,306275,307367,309900,310375,319535,319155,318887,318282,317676,317000,316394,315873,315423,314979,315183,315528,339200,339438,339944,340300,340188,340744,352906,355925,357219
경기 고양시,268935,267414,265089,263518,261165,260859,260334,260133,259986,260414,261713,262027,262911,265747,266541,268008,268720,268023,267793,267879,268857,270224,272003,273054,273791,272972,274864,276831,278868,280840,282540,286972,288910,290850,293111,294428,294874,294862,294857,294753,294534,294643,294900,295218,295561,300513,302983,304596,304908,304711,304404,304401,304683,305057,305664,307737,310977,310827,311020,311451,333638,333018,332465,331944,331628,331376,330937,330091,329241,330016,332506,334203,334095,342693,342472,341870,340575,339471,338354,336855,335418,334718,334326,334308,335721,354826,355842,357674,360326,362545,366084,372958,377327,380387
경기 덕양구,236821,234934,233519,232038,230170,230057,229642,229783,229906,230660,232292,232887,233396,233575,233849,234642,235453,235358,234764,234792,235604,236528,238094,239236,240179,241321,243575,245387,247085,248274,249321,253991,256170,258585,260972,262160,262481,262368,262283,262208,262132,262311,262547,262764,263019,275268,277696,279446,279821,279732,279455,279491,279795,280152,280768,282304,285723,285616,285777,286045,314189,313735,313250,312538,312598,312758,312780,312515,312288,314742,320265,323462,324197,340082,339948,339545,338104,337246,336291,335097,334328,333828,333381,333522,334634,360868,362029,364603,369088,373059,377684,385507,390507,395507
경기 일산동구,324854,322695,318646,316659,312646,311732,310085,308756,308317,308915,310622,310463,311805,310988,310721,312407,313733,312849,312616,313395,315047,317314,321105,322512,323500,323904,325968,328617,330904,334202,336170,336147,338794,341971,344784,346294,346451,346529,346392,346147,345931,346039,346451,347176,347824,346755,350915,352991,353415,352981,352660,352632,353123,353642,354425,356736,359000,358651,358991,359830,379225,378157,377373,376971,376275,375706,374990,374206,373363,373578,373794,374931,373902,384360,384070,383500,382670,381540,380170,378510,377040,376210,376410,376620,378610,402569,403775,406451,409451,411667,415706,422480,426941,429451
경기 일산서구,264365,263596,261490,260096,258327,258221,258298,258481,258260,258269,258990,259337,260288,267972,269935,271907,272139,270981,271102,270806,271519,272741,273454,274194,274574,275065,276472,278185,280426,282407,284630,291241,292500,293204,295000,296333,297083,297120,297278,297231,296861,296898,297083,297259,297509,297833,299231,300389,300556,300398,300065,300037,300157,300454,300935,303444,307130,307065,307194,307537,325175,324667,324190,323802,323317,322817,322048,320516,318968,318246,318865,319262,318825,319911,319637,318790,317371,316008,314863,313121,310952,310105,309411,309073,310468,318040,318770,319230,319579,319810,321802,327659,331254,332452
경기 파주시,219880,218185,217413,216848,213717,213783,213000,212348,212424,213000,213620,214087,213946,218461,219814,221196,220304,218873,218549,217618,217167,218088,218941,219225,219265,219245,219784,220618,222069,222902,224235,223000,223964,225936,227891,229845,230800,230855,230882,230909,230873,230927,231136,231291,231645,237448,238103,239121,239181,238845,238405,238371,238603,238914,239207,240103,241440,241672,242250,243259,244992,244907,244924,245051,245119,245737,245898,245458,244288,242805,241737,241144,239136,241129,240508,240210,239629,239210,238718,237778,237036,236560,236181,236077,236052,263913,264049,263966,263928,263996,264186,270201,272799,274254
경기 경원권,179052,176946,175944,174862,174315,174527,174315,173133,172312,172080,172403,172348,172087,172044,172269,172577,172267,171992,171793,171633,171474,171652,171950,172218,172436,173031,173213,173502,174373,174872,175712,176326,177130,178004,178745,179601,179845,179958,179952,180007,180366,180796,181348,181743,182101,181638,182230,182715,182884,182860,182872,182922,183136,183626,184031,184394,184740,184917,185069,185414,197835,197835,197866,197866,197866,197794,197776,197673,197568,197484,197385,197224,197148,205341,205283,205105,203536,203245,202833,202425,202161,202102,202047,202015,202170,212726,212887,213188,213391,213766,215368,216920,218787,221029
경기 포천시,132783,132207,132033,131978,132185,133250,134033,133967,133217,132478,132839,133428,133470,133022,133761,134391,134243,133904,133809,133552,133457,134009,134515,134587,134804,134939,134987,135422,136215,136685,137228,137967,138185,138804,139130,139783,139652,139543,139478,139448,139546,139833,140180,140320,140450,129929,130371,130791,130903,130810,130784,130804,130887,131510,131857,132265,132376,132475,132666,132872,137904,137779,137567,137308,136998,136056,135773,135487,135275,134958,134669,133735,133625,142648,142500,142111,142019,141759,141574,140852,140722,140278,140259,140259,140315,137357,137179,137179,136795,136571,136661,136866,136955,137188
경기 동두천시,135000,134077,131769,130481,130154,129865,129635,129038,128577,128404,128596,128673,128577,130731,130750,131365,131519,131212,130996,130735,130533,130667,130863,131106,131387,131431,131596,131769,132250,132558,132788,130233,130150,130167,130200,130267,130400,130383,130350,130317,130467,130667,130800,131133,131317,131583,131817,132317,132483,132517,132567,132570,132837,133278,133748,134038,134348,134508,134648,134863,140359,140375,140516,140422,140438,140313,140250,139828,139719,139750,139273,139156,139086,139758,139592,139565,139357,139173,139140,138750,138250,137833,137500,137133,136950,142435,142056,142169,142024,141694,141331,141153,141403,141532
경기 양주시,156513,152566,151947,151289,151763,152118,152355,151276,150408,150434,150961,151092,150882,150947,150724,150776,150421,150132,149750,149487,149145,149289,149401,149474,149592,149770,149836,150151,150638,150882,151513,152711,153382,154105,154961,155961,156421,156579,156776,156987,157434,157711,158211,158658,158974,159382,160118,160711,160842,160803,160816,160868,161000,161303,161671,161995,162470,162503,162634,162992,174867,174867,174944,174978,175078,174967,174789,174600,174133,173867,173754,173228,172994,182210,182210,181895,180530,179760,178730,177670,177120,177010,176440,176190,175900,193942,194269,194721,194798,195346,198644,199202,200202,201096
경기 의정부시,206806,205037,204000,202593,201398,201509,200926,199380,198491,198213,198463,198185,197815,197315,197704,198009,197593,197343,197213,197139,197065,197204,197574,197972,198222,198472,198731,199009,200148,200806,201917,203630,204787,205963,206880,207880,208111,208269,208185,208204,208611,209185,209889,210315,210769,211046,211676,212120,212315,212296,212306,212370,212630,213194,213611,214000,214333,214593,214750,215139,230735,230750,230773,230818,230818,230909,231015,231053,231129,231136,231159,231273,231273,238804,238754,238645,236486,236399,236174,236123,236022,236116,236355,236486,236935,246397,246630,246938,247356,247870,249243,251805,254664,258260
인천 중구,184292,181563,180146,179438,178625,177396,177313,177042,176438,175458,176375,177667,177146,191391,192453,194984,197906,200438,201469,202063,202558,202873,203052,203228,203450,203718,204056,204409,204924,205276,205635,214854,215634,216500,217354,218195,218951,219463,219256,219311,219384,219604,219677,219945,220323,220726,221299,221482,221515,221471,221410,221459,221422,221398,221410,221060,220628,220530,220555,220445,239886,239829,239786,239643,238943,238300,237529,236700,235071,234000,233000,231786,230814,226583,225819,224931,223278,221236,220111,219861,220167,220778,221611,222021,223715,255071,255548,258714,262012,263470,265732,267161,267458,268375
인천 동구,164000,162761,160848,160478,160957,161261,160891,160435,159261,159174,159304,159326,159130,159826,160283,161913,161152,161239,161500,161935,162152,162641,162935,163370,163457,163587,163848,164391,165196,165478,166435,177196,177337,177739,178087,179674,180717,181087,181087,181043,181130,181326,181570,181898,182202,167161,167430,167573,167695,167766,167695,167773,167989,168109,168277,168418,168673,169071,169291,169634,170714,170625,170625,170571,170393,170000,169411,168964,168804,168768,168607,168554,168420,166685,166278,165685,165685,165426,164815,164593,164315,165056,165148,165056,164694,164102,163694,163519,163741,164185,164694,164870,164907,164917
