지 역,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01
서울 서남권,419715,416121,414175,413468,415291,415913,414619,411944,410220,410777,412859,413557,412390,412751,413885,415153,414534,414091,413417,412957,413041,414923,417116,417959,418112,419031,419967,421257,424180,427109,430255,443355,445093,447878,450502,453372,455998,456721,456837,456747,457043,457730,459137,460860,462889,466938,470063,473440,474460,474992,475405,476341,478058,480332,485336,487471,490984,490998,491933,494717,528179,534716,541215,544954,548022,550422,552233,555307,561285,572665,575476,575686,575004,651671,649874,647408,644663,643133,642657,643612,644337,645274,648766,653670,661858,691581,691297,692219,692695,692475,693670,701177,705187,707843
서울 양천구,537716,532578,530078,529020,532010,531657,529598,524882,521657,521706,523833,523971,521873,524647,525196,526020,524451,524794,523833,523098,523059,528157,534461,535422,535735,535971,537951,540451,544804,549931,554196,574010,575990,579529,581706,583559,586333,586667,586863,586569,585902,586225,588882,591333,595245,599725,605961,611667,611706,611853,611314,611235,611353,613225,622804,624245,629471,628431,629275,634333,683450,705708,718667,721208,718308,717350,715925,717292,726267,742283,744592,744692,743642,808806,804463,798612,792164,789597,788881,792022,793000,793649,799910,807642,827381,876286,876079,876279,875343,873414,875407,884850,889929,893000
서울 강서구,368029,364657,362137,360784,361598,361833,360667,358676,357216,357382,359363,360637,360127,357145,358491,359355,357155,355973,355627,354955,354100,355400,356355,356364,356591,357000,358118,359682,363236,365282,368364,399309,401691,404136,407336,411391,414891,416309,416782,416991,417373,418127,419227,420882,422600,437678,440644,444110,446254,447178,447771,449339,451322,453686,457975,460483,464153,464000,464458,466839,479766,481953,489414,496055,503773,506711,508195,510414,514484,525992,529813,529859,529313,583185,582395,581177,578968,577355,576395,576169,576645,577379,579476,583266,588250,615250,615932,616598,617386,617000,617136,623697,627288,629871
서울 구로구,337875,335354,334323,333740,333990,334281,334167,333208,332417,332792,334083,335115,333969,334102,334949,335133,335255,333408,331929,331010,330622,331776,333745,335071,335092,335592,336031,336643,339633,342673,345847,352745,353959,357316,359745,361704,363500,363929,363316,362898,363480,364102,365153,366663,368306,369694,371357,373245,374388,374980,375490,376520,378204,379735,381653,383306,385265,385837,386980,388745,421302,424241,427845,429871,433267,436086,439517,442216,444526,449397,451672,452216,451836,526882,526518,526355,525373,525009,525009,525191,525691,526582,528918,532273,535682,553669,555398,557297,559042,560483,562559,570017,573797,576415
서울 금천구,274190,273241,272241,271672,271810,271983,270190,268121,266707,267138,269293,270172,269879,271638,273431,274034,273534,273276,273000,272793,273103,273672,273948,274121,274017,274034,274534,275345,276672,278241,280069,291345,292414,294828,296172,298000,299552,299862,300172,300414,300931,301517,302138,302707,303569,304534,305914,307483,308069,308431,308948,309741,311379,312914,315241,316276,318741,318707,319052,319517,348229,348900,349257,349971,350671,351871,352957,354171,356529,361414,363686,364329,364400,404297,403906,403281,403016,402859,402859,403266,403594,404125,405625,407875,410234,514411,514666,515526,516397,516756,517782,521923,524231,525885
서울 영등포구,498128,492112,489803,489378,491580,492160,487340,482734,480606,481628,482064,481904,479436,472469,473958,477167,477896,478458,477490,477250,478198,479385,480313,482344,482542,483323,484083,484979,487406,490333,493823,502760,504281,506688,510240,513510,516521,517323,516979,516677,517156,518052,519229,521198,522344,524469,527219,530646,531844,532448,533042,534104,536750,540313,547521,551052,554240,554708,556396,558677,586341,589568,596145,599964,603891,606636,608955,614636,625436,639600,642873,643909,643364,777065,775287,772435,771306,769769,769528,770630,771861,773546,778546,784352,790361,811102,805448,806083,806032,805485,806553,815280,820331,823466
서울 동작구,451305,448610,446902,446866,451220,453585,455488,452805,451110,453000,456207,456634,455976,466674,468279,470593,471116,471384,471733,472163,473186,474581,476326,476942,477163,477547,478395,479791,482174,484279,487221,494116,496000,498523,500395,504477,508023,509035,509640,509640,510035,510884,511837,513267,515547,517535,520419,523628,524186,524395,525326,526640,528709,531058,534523,536721,541837,541907,542930,547616,635190,642030,648350,654800,660570,666840,670710,675720,684200,702310,705200,704200,702530,807327,804143,799714,794531,791704,791071,792908,793969,795327,799561,806469,819582,835058,836250,837442,837192,836577,837298,844644,847923,849327
서울 관악구,366925,364913,363175,362775,364463,366400,366200,365588,364925,365325,369788,371350,371475,372100,373013,374000,373338,372713,372375,372088,372363,372963,373700,373913,373888,374613,374838,375388,376950,379100,380888,384063,385625,387825,390763,393450,394675,395125,395650,395925,396775,397650,399275,400825,402400,403675,406000,408800,409688,410388,410988,411763,414000,416425,420100,422000,424063,424563,425363,426563,421870,423337,425228,426630,427467,429576,432283,435630,438293,443739,445891,446076,445815,496558,495651,494651,493430,492686,492360,492174,492419,492965,494407,497023,500186,510957,511435,512663,514283,515196,516554,523196,526967,530511
서울 동남권,769532,762520,759890,761071,769958,773488,770028,763326,759120,760962,764917,764901,764660,762263,765178,769033,769502,768667,768454,769288,771531,776405,779941,780130,779095,781035,785044,791818,799369,806150,812855,860116,865795,871205,876315,876927,879776,878842,875117,874555,876137,879490,881962,886507,890975,892145,902825,906553,904788,902748,904082,915551,917994,922567,937138,940491,946847,945837,950669,957207,1099516,1138297,1169856,1179422,1179469,1176471,1171975,1168847,1178726,1206462,1212606,1208378,1202367,1300613,1289677,1280655,1275100,1272520,1272660,1275232,1278331,1281692,1293752,1307259,1344241,1443392,1441301,1436376,1423316,1413039,1415192,1432391,1437751,1439654
서울 서초구,915301,907574,904694,905830,905132,906132,904462,892396,885274,883085,883632,883009,882104,877917,880620,883250,887130,886546,886519,887352,888704,893324,896741,897769,897898,898250,901769,909315,918815,931222,939231,1002713,1009361,1018472,1025407,1029954,1034769,1036954,1036435,1035491,1036676,1039861,1047250,1052657,1056917,1046421,1057921,1062825,1061228,1059526,1063561,1106684,1110421,1114579,1128728,1134754,1137430,1135360,1135912,1140860,1275688,1306195,1346953,1352734,1352148,1348648,1346188,1346086,1357820,1394578,1402102,1398398,1394773,1555515,1544321,1536679,1527799,1524067,1523590,1527097,1531560,1536963,1546149,1559873,1594724,1775269,1776966,1770507,1750110,1731616,1732849,1751014,1757795,1759164
서울 강남구,928154,912800,906992,907515,913346,919815,914223,907338,901154,904262,906008,905923,904523,906300,911631,918146,916385,915708,915323,916669,920377,926831,929585,929446,928315,931631,938738,949238,957177,963723,973223,1047077,1055331,1062215,1066931,1061154,1064085,1060831,1058246,1057638,1060277,1066423,1077423,1085531,1093600,1098788,1114773,1117462,1114144,1110273,1109992,1114061,1116614,1122667,1139932,1143568,1152538,1150038,1153644,1163045,1366704,1418398,1454511,1466210,1466237,1463059,1455855,1449339,1460570,1495366,1501737,1502559,1493269,1617961,1600129,1586730,1582011,1580775,1581596,1584787,1589466,1593747,1611242,1630096,1678062,1758527,1755204,1749409,1732086,1714102,1714914,1731527,1738333,1741538
