Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,158200,160600,158200,160000,158754.5,562865
2017-05-02,160000,161400,158000,160200,158952.9375,543710
2017-05-04,161200,164600,160600,164600,163318.6719,440910
2017-05-08,164600,169000,163000,169000,167684.4219,669455
2017-05-10,171800,175600,164600,164800,163517.125,705380
2017-05-11,168200,173200,167400,173200,171851.7344,874490
2017-05-12,172800,173000,168400,169600,168279.75,382985
2017-05-15,170600,170800,166800,167800,166493.7656,237630
2017-05-16,167800,170000,166000,167800,166493.7656,274785
2017-05-17,167000,167600,165800,166400,165104.6563,366720
2017-05-18,165800,166400,163400,164800,163517.125,294995
2017-05-19,164400,166600,164400,166400,165104.6563,625785
2017-05-22,169600,169600,166800,169400,168081.3281,350695
2017-05-23,169200,170000,167600,168400,167089.0938,372980
2017-05-24,170000,171000,168400,170400,169073.5313,458045
2017-05-25,171000,171600,169600,170400,169073.5313,334035
2017-05-26,172000,172600,170800,171000,169668.875,308290
2017-05-29,172000,172800,170400,171200,169867.2969,227025
2017-05-30,171200,171800,169000,170400,169073.5313,335805
2017-05-31,169800,172800,168600,169000,167684.4219,477640
2017-06-01,170000,172000,168400,168400,167089.0938,275535
2017-06-02,168600,172800,168600,172800,171454.8438,343200
2017-06-05,170800,177400,170800,175200,173836.1875,521740
2017-06-07,175200,177600,174200,175200,173836.1875,420540
2017-06-08,177000,178600,175400,178000,176614.375,525280
2017-06-09,179000,195000,178800,192000,190505.375,917310
2017-06-12,185200,186600,179000,179000,177606.5938,991915
2017-06-13,179000,183800,178200,179000,177606.5938,563110
2017-06-14,179600,182800,175000,176600,175225.2656,665990
2017-06-15,176000,179200,175800,177000,175622.1563,384370
2017-06-16,177800,178400,174600,178400,177011.2656,483825
2017-06-19,177400,179600,175200,175600,174233.0469,317660
2017-06-20,178400,178600,172800,173200,171851.7344,419665
2017-06-21,171400,176200,166400,176000,174629.9375,488765
2017-06-22,175600,177600,174200,176000,174629.9375,296625
2017-06-23,176800,179200,175000,177400,176019.0313,308105
2017-06-26,178200,180600,176200,177600,176217.5,294740
2017-06-27,178000,180400,173200,173800,172447.0625,3431730
2017-06-28,171600,173000,170200,172200,170859.5156,506555
2017-06-29,172800,173600,170200,170600,169271.9844,360930
2017-06-30,169000,170000,167000,167600,166295.3125,559895
2017-07-03,168800,170000,166600,168800,167485.9844,320725
2017-07-04,168000,169400,167400,168000,166692.2188,224630
2017-07-05,167400,168000,166200,167000,165700,325600
2017-07-06,166800,167000,163600,165000,163715.5781,541180
2017-07-07,165000,168200,164400,167600,166295.3125,465745
2017-07-10,165800,166800,162600,162600,161334.25,471615
2017-07-11,162600,167000,162600,166000,164707.7813,413570
2017-07-12,166200,167800,163000,164200,162921.8125,354560
2017-07-13,163400,167400,163400,166000,164707.7813,459420
2017-07-14,165800,167800,165200,167800,166493.7656,493310
2017-07-17,168000,168800,167000,167800,166493.7656,424760
2017-07-18,168200,168800,165200,166000,164707.7813,316460
2017-07-19,166200,168400,166000,167000,165700,347190
2017-07-20,166600,168400,165400,167000,165700,318190
2017-07-21,166400,168000,166400,167800,166493.7656,303995
2017-07-24,167400,167600,164200,166600,165303.125,342805
2017-07-25,166800,167600,164800,167400,166096.8906,329950
2017-07-26,168000,168200,163800,165000,163715.5781,411715
2017-07-27,164000,165800,163800,165000,163715.5781,352395
2017-07-28,164200,164800,159800,159800,158556.0469,629375
2017-07-31,159800,161600,157200,160600,159349.8125,438425
2017-08-01,158800,160400,158000,159200,157960.7188,414640
